provid,permid,ssObjectId,orbit_class,population,sample,csv_file
2000 EZ136,60586,21163607131960922,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/60586.csv
2000 EV142,45688,21163607132025430,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/45688.csv
2000 FT25,76435,21163607147558228,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/76435.csv
2000 FW26,81232,21163607147558487,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/81232.csv
2000 FR49,30134,21163607147690322,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/30134.csv
2000 GE5,81302,21163607164204357,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/81302.csv
2000 GY118,104639,21163607165384793,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/104639.csv
2000 GA175,104720,21163607165777217,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/104720.csv
2000 JF11,81688,21163607214600518,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/81688.csv
2000 JZ23,56572,21163607214666586,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/56572.csv
2000 JS25,104928,21163607214667091,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/104928.csv
2000 JP26,32041,21163607214667344,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/32041.csv
2000 JR28,32046,21163607214667858,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/32046.csv
2000 JG48,54283,21163607214798919,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/54283.csv
2000 KX12,157987,21163607231378008,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/157987.csv
2000 KD44,178647,21163607231575108,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/178647.csv
2000 OQ2,36357,21163607298421329,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/36357.csv
2000 OG3,61197,21163607298421575,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/61197.csv
2000 OV13,54474,21163607298487126,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/54474.csv
2000 OU29,81936,21163607298554197,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/81936.csv
2000 OM37,87215,21163607298619213,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/87215.csv
2000 OP39,92556,21163607298619728,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/92556.csv
2000 OV51,61318,21163607298748758,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/61318.csv
2000 QF,18169,21163607331975238,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/18169.csv
2000 QO6,173449,21163607331976783,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/173449.csv
2000 QB43,61487,21163607332238146,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/61487.csv
2000 QX96,34239,21163607332566616,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/34239.csv
2000 QO112,61652,21163607333155407,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/61652.csv
2000 QF135,32361,21163607333287238,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/32361.csv
2000 QX226,138624,21163607333877336,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/138624.csv
2000 RA17,285619,21163607348819777,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/285619.csv
2000 RT28,34361,21163607348885588,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/34361.csv
2000 RY29,30502,21163607348885849,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/30502.csv
2000 RZ54,36734,21163607349081178,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/36734.csv
2000 RQ70,82012,21163607349211217,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/82012.csv
